Match_ID,Player_ID,Runs,Wickets,Strike_Rate,Match_Date
M00081,P3043,25,1,197.81,Apr 12 2025
M00082,P0099,42,0,72.5,Apr 12 2025
M00083,P3704,108,2,71.67,15/02/2025
M00084,P2917,75,0,107.26,2025/03/10
M00085,P2423,27,5,57.69,2025/03/10
M00086,P3891,114,3,157.24,Apr 12 2025
M00087,P1185,122,5,72.88,15/02/2025
M00088,P2965,150,6,209.23,2025-01-15
M00089,P0624,1,4,150.82,Apr 12 2025
M00090,P1554,82,3,80.04,2025/03/10
M00091,P3870,24,1,100.55,2025/03/10
M00092,P0198,144,4,202.54,Apr 12 2025
M00093,P1169,82,3,104.16,15/02/2025
M00094,P0587,10,6,210.66,15/02/2025
M00095,P1764,132,2,147.77,2025/03/10
M00096,P0408,88,2,78.15,2025/03/10
M00097,P1122,124,3,88.02,15/02/2025
M00098,P1182,66,4,178.09,15/02/2025
M00099,P2730,71,1,66.32,15/02/2025
M00100,P0113,10,4,141.45,15/02/2025
M00101,P0028,-10,6,189.81,2025/03/10
M00102,P0833,-10,4,122.51,Apr 12 2025
M00103,P2134,-10,6,127.15,2025-01-15
M00104,P2934,-10,3,201.11,Apr 12 2025
M00105,P1078,-10,6,73.26,2025/03/10
M00106,P2997,-10,2,186.62,15/02/2025
M00107,P2980,-10,2,76.64,2025/03/10
M00108,P1131,-10,5,175.04,2025-01-15
M00109,P2896,-10,0,123.67,2025/03/10
M00110,P0780,-10,5,192.4,2025-01-15
M00111,P3888,-10,1,73.27,Apr 12 2025
M00112,P3573,-10,5,83.27,Apr 12 2025
M00113,P0621,-10,6,81.81,Apr 12 2025
M00114,P1158,-10,1,157.91,2025-01-15
M00115,P3895,-10,6,172.96,15/02/2025
M00116,P0014,-10,0,133.42,15/02/2025
M00117,P2909,-10,0,121.09,2025/03/10
M00118,P2513,-10,5,149.26,2025/03/10
M00119,P1984,-10,5,212.24,2025/03/10
M00120,P3444,-10,2,163.56,Apr 12 2025
M00121,P3264,-10,4,110.71,Apr 12 2025
M00122,P1211,24,1,69.1,2025/03/10
M00123,P1719,114,2,92.06,Apr 12 2025
M00124,P0475,45,3,212.57,2025-01-15
M00125,P1424,101,5,71.77,Apr 12 2025
M00126,P3442,125,4,120.04,15/02/2025
M00127,P0119,74,2,136.27,Apr 12 2025
M00128,P0250,143,6,104.94,2025/03/10
M00129,P1685,100,6,125.13,Apr 12 2025
M00130,P1068,13,2,132.54,15/02/2025
M00131,P1392,11,2,126.1,15/02/2025
M00132,P2345,42,4,85.05,2025-01-15
M00133,P3883,84,1,152.84,2025-01-15
M00134,P3893,5,6,114.46,2025/03/10
M00135,P3737,90,6,180.22,2025-01-15
M00136,P2683,12,4,85.78,15/02/2025
M00137,P0644,137,3,196.15,15/02/2025
M00138,P1189,41,2,106.36,15/02/2025
M00139,P2265,63,0,56.13,2025-01-15
M00140,P3093,134,0,135.25,Apr 12 2025
M00141,P0174,40,2,101.25,15/02/2025
M00142,P2587,63,0,96.32,2025-01-15
M00143,P3331,96,5,118.13,2025/03/10
M00144,P3531,21,0,62.56,Apr 12 2025
M00145,P0083,3,5,191.14,15/02/2025
M00146,P0392,150,6,116.49,2025/03/10
M00147,P3215,82,3,137.1,2025-01-15
M00148,P1238,70,3,84.45,2025/03/10
M00149,P2688,147,3,114.02,Apr 12 2025
M00150,P0382,56,3,145.37,Apr 12 2025
M00151,P1165,136,4,91.58,2025-01-15
M00152,P2036,100,2,179.66,2025-01-15
M00153,P1853,57,4,215.78,Apr 12 2025
M00154,P3159,59,3,112.87,2025-01-15
M00155,P2633,79,2,74.44,2025-01-15
M00156,P0391,143,1,85.31,Apr 12 2025
M00157,P2431,63,0,74.03,Apr 12 2025
M00158,P2144,145,6,89.51,Apr 12 2025
M00159,P1033,105,2,175.89,15/02/2025
M00160,P0150,82,5,146.1,Apr 12 2025
M00161,P3570,1,2,167.37,Apr 12 2025
M00162,P2235,127,2,213.11,15/02/2025
M00163,P1319,118,5,132.11,2025-01-15
M00164,P3774,26,3,168.87,Apr 12 2025
M00165,P0522,3,1,138.39,2025-01-15
M00166,P0681,50,3,197.86,2025-01-15
M00167,P0160,108,3,79.02,Apr 12 2025
M00168,P0573,140,3,117.9,2025/03/10
M00169,P0482,111,2,172.39,2025/03/10
M00170,P2141,82,4,201.22,15/02/2025
M00171,P0580,74,4,166.45,2025/03/10
M00172,P2128,64,3,128.69,2025/03/10
M00173,P3798,34,1,139.14,Apr 12 2025
M00174,P0041,81,3,80.47,Apr 12 2025
M00175,P0275,1,2,169.25,15/02/2025
M00176,P2843,24,4,127.96,2025-01-15
M00177,P0251,119,4,76.6,2025/03/10
M00178,P2607,143,1,108.64,2025-01-15
M00179,P3801,49,2,98.31,Apr 12 2025
M00180,P2394,78,2,156.17,Apr 12 2025
M00181,P3827,65,4,141.97,15/02/2025
M00182,P0318,39,0,174.21,2025/03/10
M00183,P0731,67,4,67.39,Apr 12 2025
M00184,P1353,147,6,195.08,2025/03/10
M00185,P3307,121,1,78.58,15/02/2025
M00186,P0887,23,6,154.54,15/02/2025
M00187,P0676,121,6,50.04,2025-01-15
M00188,P3670,13,1,136.99,Apr 12 2025
M00189,P1743,120,2,101.43,2025-01-15
M00190,P0987,143,3,114.14,Apr 12 2025
M00191,P2893,121,2,103.0,2025/03/10
M00192,P2174,20,4,193.17,15/02/2025
M00193,P3873,71,5,74.29,Apr 12 2025
M00194,P2296,113,3,168.17,2025/03/10
M00195,P2808,30,4,202.96,2025/03/10
M00196,P0730,6,6,112.17,Apr 12 2025
M00197,P3157,88,5,122.09,15/02/2025
M00198,P1567,95,1,208.64,2025-01-15
M00199,P0803,113,2,139.42,2025-01-15
M00200,P2402,79,2,66.0,2025/03/10
M00201,P3752,64,15,206.67,2025/03/10
M00202,P0138,70,15,131.38,2025-01-15
M00203,P2849,64,15,156.3,2025-01-15
M00204,P3536,120,15,157.48,Apr 12 2025
M00205,P0712,121,15,198.74,2025-01-15
M00206,P0157,94,15,154.2,15/02/2025
M00207,P2891,45,15,194.66,2025-01-15
M00208,P1719,30,15,125.37,2025-01-15
M00209,P1288,24,15,142.49,15/02/2025
M00210,P2684,4,15,192.34,2025/03/10
M00211,P3678,43,15,172.76,2025/03/10
M00212,P2115,3,15,118.54,2025-01-15
M00213,P0267,49,15,179.42,15/02/2025
M00214,P2986,68,15,79.34,2025-01-15
M00215,P1129,50,15,135.93,15/02/2025
M00216,P2603,0,15,96.54,2025/03/10
M00217,P0483,87,15,146.59,2025-01-15
M00218,P2320,118,15,69.76,2025-01-15
M00219,P0748,22,15,103.98,2025-01-15
M00220,P3141,43,15,51.77,2025/03/10
M00221,P1886,20,15,210.35,2025/03/10
M00222,P3430,48,5,178.49,15/02/2025
M00223,P1272,13,3,170.01,15/02/2025
M00224,P1143,35,4,103.64,15/02/2025
M00225,P3422,48,2,200.21,15/02/2025
M00226,P1209,66,5,124.73,2025-01-15
M00227,P2007,90,4,111.81,Apr 12 2025
M00228,P3398,43,0,211.44,Apr 12 2025
M00229,P0638,137,4,85.81,Apr 12 2025
M00230,P1421,73,1,108.17,2025/03/10
M00231,P0372,131,6,85.82,15/02/2025
M00232,P1916,66,0,206.73,15/02/2025
M00233,P1947,35,3,149.76,2025/03/10
M00234,P2310,96,5,150.03,2025-01-15
M00235,P1321,26,5,111.01,2025-01-15
M00236,P0651,107,3,106.9,2025-01-15
M00237,P0767,91,2,77.67,15/02/2025
M00238,P3081,5,3,187.57,Apr 12 2025
M00239,P2432,147,5,123.94,Apr 12 2025
M00240,P1940,62,2,172.97,2025/03/10
M00241,P1977,102,2,56.82,15/02/2025
M00242,P3126,129,0,121.57,2025/03/10
M00243,P2366,102,4,54.85,15/02/2025
M00244,P3778,76,4,214.09,15/02/2025
M00245,P3898,145,6,73.72,2025/03/10
M00246,P3230,13,0,102.58,15/02/2025
M00247,P3283,88,3,117.32,Apr 12 2025
M00248,P0004,37,1,200.1,2025/03/10
M00249,P1260,20,1,90.15,15/02/2025
M00250,P1789,23,5,91.6,2025/03/10
M00251,P0021,122,1,108.6,Apr 12 2025
M00252,P2253,100,5,86.12,Apr 12 2025
M00253,P2738,96,6,128.79,15/02/2025
M00254,P3126,24,3,71.85,15/02/2025
M00255,P1638,83,2,189.36,Apr 12 2025
M00256,P2446,100,4,62.18,Apr 12 2025
M00257,P2744,150,0,87.69,15/02/2025
M00258,P3146,60,2,111.59,2025-01-15
M00259,P2501,101,0,159.75,15/02/2025
M00260,P2048,48,0,85.91,Apr 12 2025
M00261,P0381,86,3,161.19,Apr 12 2025
M00262,P0618,72,2,115.76,Apr 12 2025
M00263,P0143,66,3,80.52,Apr 12 2025
M00264,P2795,132,6,68.09,2025-01-15
M00265,P1419,25,5,196.62,2025-01-15
M00266,P0659,81,1,147.7,Apr 12 2025
M00267,P2812,116,0,132.64,Apr 12 2025
M00268,P1731,13,2,122.25,2025-01-15
M00269,P2473,115,4,113.38,Apr 12 2025
M00270,P2917,85,6,140.95,2025/03/10
M00271,P0458,45,3,140.39,Apr 12 2025
M00272,P3565,20,1,51.18,2025/03/10
M00273,P0810,131,6,154.47,Apr 12 2025
M00274,P1782,12,3,97.89,2025-01-15
M00275,P3555,125,3,112.41,2025/03/10
M00276,P1034,108,2,164.75,2025-01-15
M00277,P2224,68,1,99.85,Apr 12 2025
M00278,P0072,114,2,100.61,2025-01-15
M00279,P2441,28,2,174.42,Apr 12 2025
M00280,P1019,44,0,140.95,15/02/2025
M00281,P2977,37,5,133.89,2025/03/10
M00282,P1415,117,5,154.93,Apr 12 2025
M00283,P0167,19,2,113.38,15/02/2025
M00284,P2496,25,3,137.15,2025-01-15
M00285,P1384,77,3,118.13,15/02/2025
M00286,P3893,65,5,160.99,2025-01-15
M00287,P3428,110,0,184.92,2025/03/10
M00288,P1242,131,4,195.22,15/02/2025
M00289,P2844,12,2,147.47,15/02/2025
M00290,P3116,111,2,176.97,15/02/2025
M00291,P1134,128,5,57.78,Apr 12 2025
M00292,P3727,46,5,98.44,2025-01-15
M00293,P1668,53,0,182.95,15/02/2025
M00294,P1126,68,3,151.84,2025/03/10
M00295,P0398,56,1,53.07,2025/03/10
M00296,P0906,16,4,98.93,Apr 12 2025
M00297,P2409,107,5,151.19,Apr 12 2025
M00298,P1949,142,0,108.3,2025/03/10
M00299,P1419,113,1,128.53,Apr 12 2025
M00300,P0863,136,5,78.9,Apr 12 2025
M00301,,103,0,162.32,2025-01-15
M00302,,124,4,217.44,2025-01-15
M00303,,135,2,101.69,2025/03/10
M00304,,119,0,76.5,15/02/2025
M00305,,90,4,123.36,2025-01-15
M00306,,72,4,176.49,15/02/2025
M00307,,137,1,114.33,2025-01-15
M00308,,101,1,85.92,2025-01-15
M00309,,74,1,197.03,Apr 12 2025
M00310,,104,2,177.72,Apr 12 2025
M00311,,71,2,180.98,2025-01-15
M00312,,81,4,141.06,Apr 12 2025
M00313,,103,3,178.66,2025/03/10
M00314,,115,1,207.06,15/02/2025
M00315,,73,0,140.55,2025/03/10
M00316,,118,5,79.29,2025-01-15
M00317,,148,5,121.08,Apr 12 2025
M00318,,48,5,54.94,15/02/2025
M00319,,128,0,151.93,Apr 12 2025
M00320,,5,2,153.67,15/02/2025
M00321,,120,5,65.46,2025/03/10
M00322,,99,4,136.93,15/02/2025
M00323,,41,3,112.74,15/02/2025
M00324,,120,5,206.64,2025/03/10
M00325,,75,0,202.06,15/02/2025
M00326,,118,3,91.66,Apr 12 2025
M00327,,45,3,135.04,2025-01-15
M00328,,84,6,206.43,15/02/2025
M00329,,118,5,213.62,2025-01-15
M00330,,8,5,165.07,Apr 12 2025
M00331,,98,0,183.12,2025/03/10
M00332,P3619,137,0,171.69,2025-01-15
M00333,P1797,123,6,173.43,2025/03/10
M00334,P3325,101,6,189.79,2025-01-15
M00335,P1489,102,5,207.66,Apr 12 2025
M00336,P1756,31,0,74.82,2025/03/10
M00337,P3105,148,6,184.58,15/02/2025
M00338,P1502,105,5,107.77,15/02/2025
M00339,P3259,123,1,94.97,2025/03/10
M00340,P2630,18,3,202.86,Apr 12 2025
M00341,P3083,62,6,94.2,2025/03/10
M00342,P2823,113,2,183.85,2025/03/10
M00343,P2328,70,4,56.08,15/02/2025
M00344,P0607,133,2,54.41,2025/03/10
M00345,P2309,92,5,99.51,15/02/2025
M00346,P2326,78,3,171.22,2025/03/10
M00347,P0633,32,1,153.27,Apr 12 2025
M00348,P1054,58,0,194.66,2025/03/10
M00349,P0608,149,0,94.1,Apr 12 2025
M00350,P1954,43,2,159.45,2025/03/10
M00351,P2144,95,3,197.12,Apr 12 2025
M00352,P2656,43,6,139.29,15/02/2025
M00353,P1983,97,0,163.69,2025-01-15
M00354,P1403,57,2,85.09,15/02/2025
M00355,P1140,30,5,83.48,Apr 12 2025
M00356,P1882,145,5,204.07,15/02/2025
M00357,P3037,51,2,162.92,Apr 12 2025
M00358,P2566,25,2,136.26,2025/03/10
M00359,P2267,136,6,176.01,2025-01-15
M00360,P3269,14,3,146.34,15/02/2025
M00361,P1003,65,6,175.7,15/02/2025
M00362,P0936,116,1,56.84,2025/03/10
M00363,P2261,71,0,176.33,2025-01-15
M00364,P3712,33,4,101.47,15/02/2025
M00365,P0933,62,4,179.49,Apr 12 2025
M00366,P1902,25,4,199.88,2025-01-15
M00367,P1307,18,1,131.31,Apr 12 2025
M00368,P0342,121,1,66.98,15/02/2025
M00369,P2451,124,2,146.79,Apr 12 2025
M00370,P3528,28,5,200.71,15/02/2025
M00371,P2413,116,0,92.8,Apr 12 2025
M00372,P2464,69,3,157.29,2025/03/10
M00373,P2078,123,4,98.24,2025/03/10
M00374,P1083,136,1,107.99,2025/03/10
M00375,P2564,112,0,216.13,15/02/2025
M00376,P1998,1,2,201.87,Apr 12 2025
M00377,P2031,41,1,61.15,Apr 12 2025
M00378,P2757,77,0,207.3,Apr 12 2025
M00379,P1403,137,6,81.05,2025-01-15
M00380,P3125,59,1,102.22,2025/03/10
M00381,P1311,135,3,67.5,2025/03/10
M00382,P3800,53,4,164.22,2025/03/10
M00383,P0641,49,6,117.36,15/02/2025
M00384,P3492,40,4,162.64,2025/03/10
M00385,P2116,121,5,151.19,Apr 12 2025
M00386,P3194,68,1,208.58,Apr 12 2025
M00387,P3828,77,2,74.65,2025/03/10
M00388,P2977,90,6,176.69,Apr 12 2025
M00389,P1262,108,4,116.9,Apr 12 2025
M00390,P0024,103,0,214.68,2025/03/10
M00391,P2646,35,3,180.4,2025-01-15
M00392,P3353,51,1,162.55,2025/03/10
M00393,P1208,95,0,104.71,Apr 12 2025
M00394,P1335,142,4,175.63,15/02/2025
M00395,P2530,128,3,195.59,2025-01-15
M00396,P0305,62,1,105.33,Apr 12 2025
M00397,P3857,120,0,182.81,Apr 12 2025
M00398,P2818,124,1,97.62,Apr 12 2025
M00399,P0243,25,0,158.74,2025/03/10
M00400,P2204,94,3,207.01,2025-01-15
M00401,P1933,34,5,62.58,Apr 12 2025
M00402,P3377,38,6,75.57,2025/03/10
M00403,P2352,51,4,64.96,15/02/2025
M00404,P1343,146,4,179.67,2025/03/10
M00405,P2281,135,6,99.54,2025-01-15
M00406,P0576,17,6,183.6,2025/03/10
M00407,P3496,92,6,125.79,15/02/2025
M00408,P0755,82,3,88.71,2025/03/10
M00409,P1365,50,5,215.14,2025/03/10
M00410,P1046,5,1,70.26,Apr 12 2025
M00411,P1751,101,6,132.68,2025-01-15
M00412,P3407,135,0,205.21,2025/03/10
M00413,P0067,144,3,219.26,2025/03/10
M00414,P3237,137,3,98.05,2025/03/10
M00415,P2599,17,5,62.84,2025-01-15
M00416,P2287,28,4,76.9,2025-01-15
M00417,P2351,119,4,160.53,15/02/2025
M00418,P3080,18,6,166.27,2025/03/10
M00419,P1908,115,5,75.87,2025/03/10
M00420,P0300,46,5,147.79,Apr 12 2025
M00421,P2162,110,0,118.25,2025/03/10
M00422,P0027,99,0,51.45,2025/03/10
M00423,P1750,38,2,195.45,2025/03/10
M00424,P2181,117,5,163.12,2025/03/10
M00425,P3659,147,1,82.1,15/02/2025
M00426,P0845,78,1,67.15,2025-01-15
M00427,P3193,32,4,109.25,2025-01-15
M00428,P1342,80,1,161.89,15/02/2025
M00429,P1241,41,3,218.47,15/02/2025
M00430,P3836,55,6,110.41,15/02/2025
M00431,P3595,112,0,191.81,Apr 12 2025
M00432,P0105,113,6,176.47,15/02/2025
M00433,P1559,12,3,124.55,15/02/2025
M00434,P0843,97,4,188.46,2025-01-15
M00435,P0718,129,4,173.17,2025-01-15
M00436,P0668,53,0,209.92,2025/03/10
M00437,P3071,81,3,82.47,2025-01-15
M00438,P3276,129,2,131.26,2025-01-15
M00439,P3871,116,0,51.23,Apr 12 2025
M00440,P1640,25,2,111.27,2025/03/10
M00441,P3427,16,3,210.81,2025/03/10
M00442,P0940,21,5,159.41,Apr 12 2025
M00443,P3588,120,0,211.72,2025/03/10
M00444,P2989,82,0,73.93,15/02/2025
M00445,P0727,144,0,71.75,15/02/2025
M00446,P0575,120,6,56.63,15/02/2025
M00447,P3549,75,2,154.98,15/02/2025
M00448,P1718,44,1,209.17,15/02/2025
M00449,P3040,46,2,199.44,2025-01-15
M00450,P3222,41,0,134.58,2025/03/10
M00451,P1654,95,6,95.08,2025/03/10
M00452,P0117,6,2,54.84,Apr 12 2025
M00453,P0141,36,3,57.9,Apr 12 2025
M00454,P3124,134,1,76.89,2025-01-15
M00455,P1429,57,0,121.38,2025-01-15
M00456,P0461,121,3,217.17,Apr 12 2025
M00457,P0551,0,2,130.96,2025/03/10
M00458,P0526,82,5,141.8,2025-01-15
M00459,P1958,126,5,191.29,15/02/2025
M00460,P0516,56,4,72.07,15/02/2025
M00461,P0924,21,5,66.11,Apr 12 2025
M00462,P1157,26,1,88.46,15/02/2025
M00463,P2991,77,2,170.78,Apr 12 2025
M00464,P2738,133,4,148.12,2025/03/10
M00465,P3113,33,2,121.74,15/02/2025
M00466,P2374,8,5,204.02,Apr 12 2025
M00467,P2589,12,6,83.64,15/02/2025
M00468,P0059,36,5,55.8,15/02/2025
M00469,P0664,101,2,51.99,Apr 12 2025
M00470,P1982,88,1,156.88,Apr 12 2025
M00471,P1852,54,3,155.62,Apr 12 2025
M00472,P0483,71,5,180.65,2025/03/10
M00473,P1382,47,2,107.97,Apr 12 2025
M00474,P3163,140,3,162.75,2025/03/10
M00475,P3127,132,2,60.73,2025/03/10
M00476,P1748,6,4,71.46,15/02/2025
M00477,P1874,28,0,143.58,2025/03/10
M00478,P0518,88,2,126.94,2025-01-15
M00479,P3552,129,1,117.58,15/02/2025
M00480,P0581,56,6,52.84,2025/03/10
M00481,P2153,38,4,196.19,2025-01-15
M00482,P3278,136,2,141.71,15/02/2025
M00483,P1534,40,0,165.67,15/02/2025
M00484,P3454,38,4,210.17,Apr 12 2025
M00485,P3516,51,2,58.32,Apr 12 2025
M00486,P1215,99,4,215.24,Apr 12 2025
M00487,P1917,82,1,172.66,2025/03/10
M00488,P0002,19,2,170.42,2025/03/10
M00489,P0856,17,0,178.38,15/02/2025
M00490,P0589,123,6,77.24,15/02/2025
M00491,P1603,40,5,121.23,15/02/2025
M00492,P1019,89,0,88.47,2025/03/10
M00493,P0576,102,0,173.42,15/02/2025
M00494,P0844,113,1,164.28,2025/03/10
M00495,P0045,30,4,102.9,2025-01-15
M00496,P3161,120,1,162.27,2025/03/10
M00497,P3368,31,4,176.29,Apr 12 2025
M00498,P0630,18,6,204.79,2025/03/10
M00499,P3585,69,0,114.86,2025/03/10
M00500,P0463,119,3,149.45,Apr 12 2025
M00501,P3107,74,1,138.88,2025-01-15
M00502,P2998,92,1,197.79,Apr 12 2025
M00503,P3428,110,3,59.63,2025-01-15
M00504,P3544,71,6,173.09,2025/03/10
M00505,P3706,64,5,136.33,Apr 12 2025
M00506,P2732,64,2,64.13,2025-01-15
M00507,P2921,124,1,149.58,15/02/2025
M00508,P2422,111,5,95.18,Apr 12 2025
M00509,P2297,144,3,153.13,Apr 12 2025
M00510,P0173,27,4,192.49,2025-01-15
M00511,P2358,24,0,214.34,15/02/2025
M00512,P1478,148,5,170.58,Apr 12 2025
M00513,P3340,100,5,176.53,2025/03/10
M00514,P2651,112,6,128.33,2025-01-15
M00515,P3852,102,6,186.89,Apr 12 2025
M00516,P2741,6,1,146.38,2025-01-15
M00517,P2583,84,0,99.69,Apr 12 2025
M00518,P3285,7,5,127.63,2025/03/10
M00519,P1469,88,2,215.51,15/02/2025
M00520,P1134,114,6,58.13,Apr 12 2025
M00521,P2864,67,6,184.92,15/02/2025
M00522,P2288,140,5,104.72,Apr 12 2025
M00523,P3086,89,6,188.63,Apr 12 2025
M00524,P3509,22,2,109.81,15/02/2025
M00525,P1297,78,0,205.41,2025-01-15
M00526,P2620,103,2,155.71,15/02/2025
M00527,P3099,97,1,95.0,Apr 12 2025
M00528,P1437,86,6,124.42,2025/03/10
M00529,P3092,40,1,104.87,2025-01-15
M00530,P0778,148,2,204.5,2025/03/10
M00531,P3100,143,4,80.24,2025-01-15
M00532,P0814,23,0,170.98,Apr 12 2025
M00533,P3491,67,1,171.7,2025/03/10
M00534,P1626,34,3,67.62,2025/03/10
M00535,P2513,145,0,105.05,15/02/2025
M00536,P1813,10,1,143.16,2025/03/10
M00537,P0108,126,1,191.65,15/02/2025
M00538,P1005,57,3,160.14,15/02/2025
M00539,P0596,3,2,91.43,2025-01-15
M00540,P3513,123,6,124.62,15/02/2025
M00541,P1689,47,6,138.16,Apr 12 2025
M00542,P2570,147,3,176.95,2025/03/10
M00543,P3291,67,3,112.94,15/02/2025
M00544,P1312,138,2,63.1,15/02/2025
M00545,P1318,63,6,141.51,15/02/2025
M00546,P0396,129,5,130.88,2025/03/10
M00547,P0430,58,5,109.22,15/02/2025
M00548,P1906,68,4,192.22,Apr 12 2025
M00549,P2535,112,3,150.48,2025-01-15
M00550,P0702,5,4,126.24,2025-01-15
M00551,P3670,88,3,197.49,15/02/2025
M00552,P0262,90,0,212.3,2025/03/10
M00553,P2334,64,5,54.69,Apr 12 2025
M00554,P1765,34,3,86.58,Apr 12 2025
M00555,P1270,137,5,164.69,2025/03/10
M00556,P0953,145,6,198.91,Apr 12 2025
M00557,P0591,138,5,149.77,2025-01-15
M00558,P2497,13,5,178.26,2025-01-15
M00559,P3173,18,4,60.82,Apr 12 2025
M00560,P2992,41,5,83.09,15/02/2025
M00561,P3424,46,0,160.4,Apr 12 2025
M00562,P2985,30,2,65.15,Apr 12 2025
M00563,P2352,99,6,119.29,Apr 12 2025
M00564,P0568,87,1,66.3,2025/03/10
M00565,P0727,110,2,134.95,15/02/2025
M00566,P1068,102,1,88.53,2025-01-15
M00567,P1392,115,6,65.98,2025/03/10
M00568,P0084,15,4,60.05,2025/03/10
M00569,P0392,43,0,213.81,2025-01-15
M00570,P0020,83,3,102.06,2025/03/10
M00571,P3520,17,1,82.04,Apr 12 2025
M00572,P0745,137,1,215.88,2025-01-15
M00573,P3573,39,4,113.61,15/02/2025
M00574,P3652,112,5,193.82,15/02/2025
M00575,P2079,38,6,189.23,2025-01-15
M00576,P2549,9,4,201.0,2025-01-15
M00577,P3307,79,2,68.32,15/02/2025
M00578,P2418,132,1,203.04,Apr 12 2025
M00579,P0792,39,4,206.4,Apr 12 2025
M00580,P3804,140,6,116.1,Apr 12 2025
M00581,P3867,29,5,144.26,2025/03/10
M00582,P1009,93,1,90.71,Apr 12 2025
M00583,P0772,103,0,110.91,Apr 12 2025
M00584,P3322,25,6,138.37,2025/03/10
M00585,P3736,134,4,147.76,Apr 12 2025
M00586,P3101,139,5,84.16,2025/03/10
M00587,P0555,114,6,83.67,Apr 12 2025
M00588,P1656,111,3,64.01,2025-01-15
M00589,P2013,26,2,145.41,Apr 12 2025
M00590,P1253,127,6,181.03,2025-01-15
M00591,P2161,10,1,210.95,2025/03/10
M00592,P3655,150,5,203.05,15/02/2025
M00593,P2626,80,5,58.15,2025-01-15
M00594,P0194,77,3,82.0,2025-01-15
M00595,P3375,111,5,136.42,15/02/2025
M00596,P2084,94,5,168.86,15/02/2025
M00597,P0405,117,1,201.7,2025/03/10
M00598,P0299,52,3,85.15,2025-01-15
